,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,SMA,Signal
0,2014-11-28,5.631605663999999,20.45586439068572,35.77232631970873,5.631605663999999,5.631605663999999,3.9682365596019094,3.9682365596019094,3.9682365596019094,3.914208581982179,3.914208581982179,3.914208581982179,0.05402797761973033,0.05402797761973033,0.05402797761973033,0.0,0.0,0.0,27.979149149145982,,0
1,2014-12-01,5.659487122225629,20.145353096088506,35.73555580392462,5.659487122225629,5.659487122225629,3.9740244543255994,3.9740244543255994,3.9740244543255994,3.918640805431574,3.918640805431574,3.918640805431574,0.05538364889402511,0.05538364889402511,0.05538364889402511,0.0,0.0,0.0,28.150427344891092,,0
2,2014-12-02,5.668780941634172,20.15099388503684,36.342387152872135,5.668780941634172,5.668780941634172,3.9717571068697266,3.9717571068697266,3.9717571068697266,3.9166462679197,3.9166462679197,3.9166462679197,0.055110838950026914,0.055110838950026914,0.055110838950026914,0.0,0.0,0.0,28.183801933857357,,0
3,2014-12-03,5.678074761042716,20.35126049313132,36.353146848661005,5.678074761042716,5.678074761042716,3.9717243394809056,3.9717243394809056,3.9717243394809056,3.91723747495876,3.91723747495876,3.91723747495876,0.05448686452214567,0.05448686452214567,0.05448686452214567,0.0,0.0,0.0,28.229822490868298,,0
4,2014-12-04,5.687368580451259,20.49308331773159,35.64123121218224,5.687368580451259,5.687368580451259,3.9673806559481233,3.9673806559481233,3.9673806559481233,3.913859999999302,3.913859999999302,3.913859999999302,0.0535206559488217,0.0535206559488217,0.0535206559488217,0.0,0.0,0.0,28.25132466978072,,0
5,2014-12-05,5.696662399859802,21.09365618299336,36.554294082870356,5.696662399859802,5.696662399859802,3.9664304363937646,3.9664304363937646,3.9664304363937646,3.9142085819927983,3.9142085819927983,3.9142085819927983,0.052221854400966085,0.052221854400966085,0.052221854400966085,0.0,0.0,0.0,28.292077528523667,,0
6,2014-12-08,5.724543858085433,20.65495605332965,36.34138132509435,5.724543858085433,5.724543858085433,3.9650676370951112,3.9650676370951112,3.9650676370951112,3.918640805441176,3.918640805441176,3.918640805441176,0.04642683165393556,0.04642683165393556,0.04642683165393556,0.0,0.0,0.0,28.422747446911572,,0
7,2014-12-09,5.733837677493976,20.98750102385007,36.73085980246641,5.733837677493976,5.733837677493976,3.9605382264349673,3.9605382264349673,3.9605382264349673,3.916646267917586,3.916646267917586,3.916646267917586,0.04389195851738162,0.04389195851738162,0.04389195851738162,0.0,0.0,0.0,28.44292098338196,,0
8,2014-12-10,5.743131496902519,20.49828613085339,35.977102416671904,5.743131496902519,5.743131496902519,3.958305414776241,3.958305414776241,3.958305414776241,3.917237474958767,3.917237474958767,3.917237474958767,0.041067939817473836,0.041067939817473836,0.041067939817473836,0.0,0.0,0.0,28.476199998863738,,0
9,2014-12-11,5.752425316311062,20.619306000016508,35.79010015943635,5.752425316311062,5.752425316311062,3.9518204156946224,3.9518204156946224,3.9518204156946224,3.913860000001428,3.913860000001428,3.913860000001428,0.0379604156931949,0.0379604156931949,0.0379604156931949,0.0,0.0,0.0,28.484977121067715,28.291344866729208,1
